"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"906",622259,"Wingenter, Trey","906","100.0","0.187","0.137","0.271","0.324","0.282","0.299","0.196","34","182","88.7","15.2","2164","91.3","91.82","151","416","490","0.5","6.48","115","151","115","149","305","327","306"
"903",669203,"Burnes, Corbin","903","100.0","0.330","0.292","0.424","0.623","0.417","0.357","0.274","70","212","90.0","10.5","2692","91.6","90.22","164","449","454","-1.4","6.18","110","157","115","152","301","319","293"
"903",607192,"Glasnow, Tyler","903","100.0","0.186","0.088","0.265","0.274","0.222","0.231","0.176","40","215","87.4","10.5","2445","92.8","94.78","112","395","508","2.0","7.37","109","153","113","146","288","322","296"
"901",641838,"McCarthy, Kevin","901","100.0","0.285","0.130","0.318","0.414","0.315","0.293","0.250","68","239","89.8","3.8","1982","88.6","89.59","95","471","430","1.0","6.65","110","150","117","142","301","326","303"
"900",663432,"Rainey, Tanner","900","100.0","0.188","0.159","0.289","0.347","0.310","0.316","0.195","32","170","90.7","7.5","2435","94.6","94.55","168","415","485","-0.1","6.17","112","149","113","148","305","316","297"
"900",594027,"Guerrero, Tayron","900","100.0","0.246","0.170","0.282","0.415","0.352","0.363","0.239","42","171","90.2","13.5","2140","96.6","96.94","127","452","448","0.3","6.48","107","152","118","146","300","326","299"
"898",623184,"Oberg, Scott","898","100.0","0.196","0.095","0.248","0.291","0.249","0.293","0.225","39","199","87.9","7.5","2316","90.3","90.60","118","425","472","0.3","6.12","112","152","115","148","308","334","311"
"897",519008,"McFarland, T.J.","897","100.0","0.316","0.156","0.349","0.471","0.350","0.350","0.301","71","225","87.7","0.0","1934","86.9","84.91","97","444","453","-2.0","5.18","109","149","116","150","300","325","301"
"895",605177,"Chafin, Andrew","895","100.0","0.257","0.109","0.359","0.366","0.301","0.304","0.241","52","202","87.9","12.5","2253","90.1","89.82","151","446","449","-0.3","6.29","110","153","115","151","299","327","303"
"894",523260,"Kelly, Joe","894","100.0","0.244","0.139","0.323","0.383","0.306","0.277","0.208","49","201","88.9","0.7","2483","92.7","90.73","99","375","519","-2.0","5.84","110","156","118","144","297","318","295"
"889",643778,"Webb, Tyler","889","100.0","0.172","0.156","0.187","0.328","0.252","0.285","0.210","33","192","86.4","15.4","2112","85.9","85.99","96","424","464","0.1","6.24","115","152","113","150","297","323","301"
"888",545064,"Díaz, Jairo","888","100.0","0.251","0.179","0.318","0.430","0.315","0.294","0.234","56","223","90.1","8.1","2273","93.1","92.24","135","457","430","-0.9","5.48","114","151","116","146","309","335","308"
"885",543483,"Magill, Matt","885","100.0","0.251","0.187","0.328","0.438","0.316","0.324","0.255","51","203","90.9","14.1","2429","91.1","91.56","138","428","457","0.5","6.49","110","154","116","147","297","320","290"
"881",407845,"Rodney, Fernando","881","100.0","0.269","0.126","0.344","0.396","0.332","0.310","0.230","49","182","87.6","9.2","1995","90.4","89.95","104","396","485","-0.5","5.96","110","149","115","148","297","314","296"
"878",656713,"McKay, Brendan","878","100.0","0.268","0.207","0.333","0.475","0.333","0.321","0.255","53","198","91.2","17.5","2148","89.7","89.50","102","430","448","-0.2","6.23","107","159","117","149","298","326","297"
"877",502026,"Jeffress, Jeremy","877","100.0","0.269","0.124","0.327","0.393","0.319","0.331","0.261","54","201","86.4","7.7","2137","89.9","88.15","87","427","450","-1.7","6.17","109","156","113","150","302","321","294"
"870",621363,"Poche, Colin","870","100.0","0.181","0.192","0.238","0.374","0.278","0.260","0.169","33","182","89.1","30.3","2295","91.9","92.86","163","467","403","1.0","6.93","107","154","112","148","296","326","298"
"868",607560,"Harper, Ryne","868","100.0","0.257","0.162","0.301","0.419","0.297","0.315","0.260","54","210","89.2","14.8","2122","80.0","78.50","102","422","446","-1.5","6.08","110","154","115","147","293","323","291"
"866",641755,"Kinley, Tyler","866","100.0","0.238","0.122","0.288","0.359","0.318","0.320","0.232","43","181","87.8","15.2","2421","91.2","89.14","120","408","458","-2.1","5.00","108","153","117","148","302","326","298"
"865",455119,"Martin, Chris","865","100.0","0.249","0.163","0.314","0.411","0.281","0.286","0.242","52","209","88.7","8.2","2208","93.3","93.41","123","470","395","0.1","6.38","110","152","114","149","298","324","301"
"865",661255,"López, Yoan","865","100.0","0.232","0.214","0.234","0.446","0.298","0.376","0.305","52","224","91.9","11.8","2236","91.4","91.76","88","416","449","0.4","6.36","112","153","118","151","304","329","303"
